ID	VNUM
1	Yang
2	Polska wersja
10	Miecz+0
11	Miecz+1
12	Miecz+2
13	Miecz+3
14	Miecz+4
15	Miecz+5
16	Miecz+6
17	Miecz+7
18	Miecz+8
19	Miecz+9
20	Długi Miecz+0
21	Długi Miecz+1
22	Długi Miecz+2
23	Długi Miecz+3
24	Długi Miecz+4
25	Długi Miecz+5
26	Długi Miecz+6
27	Długi Miecz+7
28	Długi Miecz+8
29	Długi Miecz+9
30	Sejmitar+0
31	Sejmitar+1
32	Sejmitar+2
33	Sejmitar+3
34	Sejmitar+4
35	Sejmitar+5
36	Sejmitar+6
37	Sejmitar+7
38	Sejmitar+8
39	Sejmitar+9
40	Stożkowy Miecz+0
41	Stożkowy Miecz+1
42	Stożkowy Miecz+2
43	Stożkowy Miecz+3
44	Stożkowy Miecz+4
45	Stożkowy Miecz+5
46	Stożkowy Miecz+6
47	Stożkowy Miecz+7
48	Stożkowy Miecz+8
49	Stożkowy Miecz+9
50	Szeroki Miecz+0
51	Szeroki Miecz+1
52	Szeroki Miecz+2
53	Szeroki Miecz+3
54	Szeroki Miecz+4
55	Szeroki Miecz+5
56	Szeroki Miecz+6
57	Szeroki Miecz+7
58	Szeroki Miecz+8
59	Szeroki Miecz+9
60	Srebrny Miecz+0
61	Srebrny Miecz+1
62	Srebrny Miecz+2
63	Srebrny Miecz+3
64	Srebrny Miecz+4
65	Srebrny Miecz+5
66	Srebrny Miecz+6
67	Srebrny Miecz+7
68	Srebrny Miecz+8
69	Srebrny Miecz+9
70	Miecz Storczykowy+0
71	Miecz Storczykowy+1
72	Miecz Storczykowy+2
73	Miecz Storczykowy+3
74	Miecz Storczykowy+4
75	Miecz Storczykowy+5
76	Miecz Storczykowy+6
77	Miecz Storczykowy+7
78	Miecz Storczykowy+8
79	Miecz Storczykowy+9
80	Miecz Półtoraręczny+0
81	Miecz Półtoraręczny+1
82	Miecz Półtoraręczny+2
83	Miecz Półtoraręczny+3
84	Miecz Półtoraręczny+4
85	Miecz Półtoraręczny+5
86	Miecz Półtoraręczny+6
87	Miecz Półtoraręczny+7
88	Miecz Półtoraręczny+8
89	Miecz Półtoraręczny+9
90	Miecz Barbarzyńcy+0
91	Miecz Barbarzyńcy+1
92	Miecz Barbarzyńcy+2
93	Miecz Barbarzyńcy+3
94	Miecz Barbarzyńcy+4
95	Miecz Barbarzyńcy+5
96	Miecz Barbarzyńcy+6
97	Miecz Barbarzyńcy+7
98	Miecz Barbarzyńcy+8
99	Miecz Barbarzyńcy+9
100	Krwawy Miecz+0
101	Krwawy Miecz+1
102	Krwawy Miecz+2
103	Krwawy Miecz+3
104	Krwawy Miecz+4
105	Krwawy Miecz+5
106	Krwawy Miecz+6
107	Krwawy Miecz+7
108	Krwawy Miecz+8
109	Krwawy Miecz+9
110	Wielki Miecz+0
111	Wielki Miecz+1
112	Wielki Miecz+2
113	Wielki Miecz+3
114	Wielki Miecz+4
115	Wielki Miecz+5
116	Wielki Miecz+6
117	Wielki Miecz+7
118	Wielki Miecz+8
119	Wielki Miecz+9
120	Miecz Lat. Maga+0
121	Miecz Lat. Maga+1
122	Miecz Lat. Maga+2
123	Miecz Lat. Maga+3
124	Miecz Lat. Maga+4
125	Miecz Lat. Maga+5
126	Miecz Lat. Maga+6
127	Miecz Lat. Maga+7
128	Miecz Lat. Maga+8
129	Miecz Lat. Maga+9
130	Pół-księżycowy Miecz+0
131	Pół-księżycowy Miecz+1
132	Pół-księżycowy Miecz+2
133	Pół-księżycowy Miecz+3
134	Pół-księżycowy Miecz+4
135	Pół-księżycowy Miecz+5
136	Pół-księżycowy Miecz+6
137	Pół-księżycowy Miecz+7
138	Pół-księżycowy Miecz+8
139	Pół-księżycowy Miecz+9
140	Miecz Bojowy+0
141	Miecz Bojowy+1
142	Miecz Bojowy+2
143	Miecz Bojowy+3
144	Miecz Bojowy+4
145	Miecz Bojowy+5
146	Miecz Bojowy+6
147	Miecz Bojowy+7
148	Miecz Bojowy+8
149	Miecz Bojowy+9
150	Miecz Szponu Ducha+0
151	Miecz Szponu Ducha+1
152	Miecz Szponu Ducha+2
153	Miecz Szponu Ducha+3
154	Miecz Szponu Ducha+4
155	Miecz Szponu Ducha+5
156	Miecz Szponu Ducha+6
157	Miecz Szponu Ducha+7
158	Miecz Szponu Ducha+8
159	Miecz Szponu Ducha+9
160	Miecz Nimfy+0
161	Miecz Nimfy+1
162	Miecz Nimfy+2
163	Miecz Nimfy+3
164	Miecz Nimfy+4
165	Miecz Nimfy+5
166	Miecz Nimfy+6
167	Miecz Nimfy+7
168	Miecz Nimfy+8
169	Miecz Nimfy+9
170	Miecz Żądło+0
171	Miecz Żądło+1
172	Miecz Żądło+2
173	Miecz Żądło+3
174	Miecz Żądło+4
175	Miecz Żądło+5
176	Miecz Żądło+6
177	Miecz Żądło+7
178	Miecz Żądło+8
179	Miecz Żądło+9
180	Zatruty miecz+0
181	Zatruty miecz+1
182	Zatruty miecz+2
183	Zatruty miecz+3
184	Zatruty miecz+4
185	Zatruty miecz+5
186	Zatruty miecz+6
187	Zatruty miecz+7
188	Zatruty miecz+8
189	Zatruty miecz+9
190	Lwi Miecz+0
191	Lwi Miecz+1
192	Lwi Miecz+2
193	Lwi Miecz+3
194	Lwi Miecz+4
195	Lwi Miecz+5
196	Lwi Miecz+6
197	Lwi Miecz+7
198	Lwi Miecz+8
199	Lwi Miecz+9
200	Brzegowe Ostrze+0
201	Brzegowe Ostrze+1
202	Brzegowe Ostrze+2
203	Brzegowe Ostrze+3
204	Brzegowe Ostrze+4
205	Brzegowe Ostrze+5
206	Brzegowe Ostrze+6
207	Brzegowe Ostrze+7
208	Brzegowe Ostrze+8
209	Brzegowe Ostrze+9
210	Śmiercionośne Ostrze+0
211	Śmiercionośne Ostrze+1
212	Śmiercionośne Ostrze+2
213	Śmiercionośne Ostrze+3
214	Śmiercionośne Ostrze+4
215	Śmiercionośne Ostrze+5
216	Śmiercionośne Ostrze+6
217	Śmiercionośne Ostrze+7
218	Śmiercionośne Ostrze+8
219	Śmiercionośne Ostrze+9
220	Księżycowy Miecz+0
221	Księżycowy Miecz+1
222	Księżycowy Miecz+2
223	Księżycowy Miecz+3
224	Księżycowy Miecz+4
225	Księżycowy Miecz+5
226	Księżycowy Miecz+6
227	Księżycowy Miecz+7
228	Księżycowy Miecz+8
229	Księżycowy Miecz+9
230	Niebiański Miecz+0
231	Niebiański Miecz+1
232	Niebiański Miecz+2
233	Niebiański Miecz+3
234	Niebiański Miecz+4
235	Niebiański Miecz+5
236	Niebiański Miecz+6
237	Niebiański Miecz+7
238	Niebiański Miecz+8
239	Niebiański Miecz+9
240	Miecz Egzorcysty+0
241	Miecz Egzorcysty+1
242	Miecz Egzorcysty+2
243	Miecz Egzorcysty+3
244	Miecz Egzorcysty+4
245	Miecz Egzorcysty+5
246	Miecz Egzorcysty+6
247	Miecz Egzorcysty+7
248	Miecz Egzorcysty+8
249	Miecz Egzorcysty+9
250	Demoniczne Ostrze+0
251	Demoniczne Ostrze+1
252	Demoniczne Ostrze+2
253	Demoniczne Ostrze+3
254	Demoniczne Ostrze+4
255	Demoniczne Ostrze+5
256	Demoniczne Ostrze+6
257	Demoniczne Ostrze+7
258	Demoniczne Ostrze+8
259	Demoniczne Ostrze+9
260	Miecz Barona+0
261	Miecz Barona+1
262	Miecz Barona+2
263	Miecz Barona+3
264	Miecz Barona+4
265	Miecz Barona+5
266	Miecz Barona+6
267	Miecz Barona+7
268	Miecz Barona+8
269	Miecz Barona+9
270	Miecz Trytona+0
271	Miecz Trytona+1
272	Miecz Trytona+2
273	Miecz Trytona+3
274	Miecz Trytona+4
275	Miecz Trytona+5
276	Miecz Trytona+6
277	Miecz Trytona+7
278	Miecz Trytona+8
279	Miecz Trytona+9
280	Święty Miecz+0
281	Święty Miecz+1
282	Święty Miecz+2
283	Święty Miecz+3
284	Święty Miecz+4
285	Święty Miecz+5
286	Święty Miecz+6
287	Święty Miecz+7
288	Święty Miecz+8
289	Święty Miecz+9
290	Miecz Pełni Księżyca+0
291	Miecz Pełni Księżyca+1
292	Miecz Pełni Księżyca+2
293	Miecz Pełni Księżyca+3
294	Miecz Pełni Księżyca+4
295	Miecz Pełni Księżyca+5
296	Miecz Pełni Księżyca+6
297	Miecz Pełni Księżyca+7
298	Miecz Pełni Księżyca+8
299	Miecz Pełni Księżyca+9
460	Runiczny Miecz+0
461	Runiczny Miecz+1
462	Runiczny Miecz+2
463	Runiczny Miecz+3
464	Runiczny Miecz+4
465	Runiczny Miecz+5
466	Runiczny Miecz+6
467	Runiczny Miecz+7
468	Runiczny Miecz+8
469	Runiczny Miecz+9
470	Klinga Smoczego Kła+0
471	Klinga Smoczego Kła+1
472	Klinga Smoczego Kła+2
473	Klinga Smoczego Kła+3
474	Klinga Smoczego Kła+4
475	Klinga Smoczego Kła+5
476	Klinga Smoczego Kła+6
477	Klinga Smoczego Kła+7
478	Klinga Smoczego Kła+8
479	Klinga Smoczego Kła+9
1000	Sztylet+0
1001	Sztylet+1
1002	Sztylet+2
1003	Sztylet+3
1004	Sztylet+4
1005	Sztylet+5
1006	Sztylet+6
1007	Sztylet+7
1008	Sztylet+8
1009	Sztylet+9
1010	Sztylet Kobry+0
1011	Sztylet Kobry+1
1012	Sztylet Kobry+2
1013	Sztylet Kobry+3
1014	Sztylet Kobry+4
1015	Sztylet Kobry+5
1016	Sztylet Kobry+6
1017	Sztylet Kobry+7
1018	Sztylet Kobry+8
1019	Sztylet Kobry+9
1020	Sztylet Nożycowy+0
1021	Sztylet Nożycowy+1
1022	Sztylet Nożycowy+2
1023	Sztylet Nożycowy+3
1024	Sztylet Nożycowy+4
1025	Sztylet Nożycowy+5
1026	Sztylet Nożycowy+6
1027	Sztylet Nożycowy+7
1028	Sztylet Nożycowy+8
1029	Sztylet Nożycowy+9
1030	Nóż Szczęścia+0
1031	Nóż Szczęścia+1
1032	Nóż Szczęścia+2
1033	Nóż Szczęścia+3
1034	Nóż Szczęścia+4
1035	Nóż Szczęścia+5
1036	Nóż Szczęścia+6
1037	Nóż Szczęścia+7
1038	Nóż Szczęścia+8
1039	Nóż Szczęścia+9
1040	Ukąszenie Kota+0
1041	Ukąszenie Kota+1
1042	Ukąszenie Kota+2
1043	Ukąszenie Kota+3
1044	Ukąszenie Kota+4
1045	Ukąszenie Kota+5
1046	Ukąszenie Kota+6
1047	Ukąszenie Kota+7
1048	Ukąszenie Kota+8
1049	Ukąszenie Kota+9
1050	Twarz Diabła+0
1051	Twarz Diabła+1
1052	Twarz Diabła+2
1053	Twarz Diabła+3
1054	Twarz Diabła+4
1055	Twarz Diabła+5
1056	Twarz Diabła+6
1057	Twarz Diabła+7
1058	Twarz Diabła+8
1059	Twarz Diabła+9
1060	Sztylet Pięści Diab.+0
1061	Sztylet Pięści Diab.+1
1062	Sztylet Pięści Diab.+2
1063	Sztylet Pięści Diab.+3
1064	Sztylet Pięści Diab.+4
1065	Sztylet Pięści Diab.+5
1066	Sztylet Pięści Diab.+6
1067	Sztylet Pięści Diab.+7
1068	Sztylet Pięści Diab.+8
1069	Sztylet Pięści Diab.+9
1070	Krwawy Sztylet+0
1071	Krwawy Sztylet+1
1072	Krwawy Sztylet+2
1073	Krwawy Sztylet+3
1074	Krwawy Sztylet+4
1075	Krwawy Sztylet+5
1076	Krwawy Sztylet+6
1077	Krwawy Sztylet+7
1078	Krwawy Sztylet+8
1079	Krwawy Sztylet+9
1080	Żebrowy Nóż+0
1081	Żebrowy Nóż+1
1082	Żebrowy Nóż+2
1083	Żebrowy Nóż+3
1084	Żebrowy Nóż+4
1085	Żebrowy Nóż+5
1086	Żebrowy Nóż+6
1087	Żebrowy Nóż+7
1088	Żebrowy Nóż+8
1089	Żebrowy Nóż+9
1090	Chakram+0
1091	Chakram+1
1092	Chakram+2
1093	Chakram+3
1094	Chakram+4
1095	Chakram+5
1096	Chakram+6
1097	Chakram+7
1098	Chakram+8
1099	Chakram+9
1100	Smoczy Nóż+0
1101	Smoczy Nóż+1
1102	Smoczy Nóż+2
1103	Smoczy Nóż+3
1104	Smoczy Nóż+4
1105	Smoczy Nóż+5
1106	Smoczy Nóż+6
1107	Smoczy Nóż+7
1108	Smoczy Nóż+8
1109	Smoczy Nóż+9
1110	Nóż Błyskawicy+0
1111	Nóż Błyskawicy+1
1112	Nóż Błyskawicy+2
1113	Nóż Błyskawicy+3
1114	Nóż Błyskawicy+4
1115	Nóż Błyskawicy+5
1116	Nóż Błyskawicy+6
1117	Nóż Błyskawicy+7
1118	Nóż Błyskawicy+8
1119	Nóż Błyskawicy+9
1120	Nóż Siamese+0
1121	Nóż Siamese+1
1122	Nóż Siamese+2
1123	Nóż Siamese+3
1124	Nóż Siamese+4
1125	Nóż Siamese+5
1126	Nóż Siamese+6
1127	Nóż Siamese+7
1128	Nóż Siamese+8
1129	Nóż Siamese+9
1130	Skrzydła Demona Chakr.+0
1131	Skrzydła Demona Chakr.+1
1132	Skrzydła Demona Chakr.+2
1133	Skrzydła Demona Chakr.+3
1134	Skrzydła Demona Chakr.+4
1135	Skrzydła Demona Chakr.+5
1136	Skrzydła Demona Chakr.+6
